product,url,category,price,amount,content,unit,vegan,vegetarian,nutriscore,carbs_100g,protein_100g,fat_100g
Euroma Chilli con carne,https://www.ah.nl/producten/product/wi518888/euroma-chilli-con-carne,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.29,62.0,Inhoud en gewicht62 Gram,g,False,False,,,,
Bonduelle Crispy mais 3-pack,https://www.ah.nl/producten/product/wi521065/bonduelle-crispy-mais-3-pack,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.59,,Inhoud en gewicht3 StuksUitlekgewicht: 420 Gram,,False,False,A,10.5,2.7,1.4
Hak gevulde paprika ovenschotel pakket,https://www.ah.nl/producten/product/wi526174/hak-gevulde-paprika-ovenschotel-pakket,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,7.57,,,,False,False,,,,
Souq Toum knoflooksaus,https://www.ah.nl/producten/product/wi535150/souq-toum-knoflooksaus,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.49,280.0,Inhoud en gewicht265 Gram,g,False,False,,6.7,0.0,50.0
Colman's Mustard double superfine mustard powder,https://www.ah.nl/producten/product/wi375991/colman-s-mustard-double-superfine-mustard-powder,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.49,113.0,Inhoud en gewicht113 GramAantal porties: 45,g,False,False,,12.0,29.0,42.0
Mutti Pastasaus Olive,https://www.ah.nl/producten/product/wi461884/mutti-pastasaus-olive,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.59,400.0,Inhoud en gewicht400 Gram,g,False,False,A,4.4,1.3,5.2
Fairtrade Original Fairtrade bio Kokosolie,https://www.ah.nl/producten/product/wi462571/fairtrade-original-fairtrade-bio-kokosolie,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,6.49,300.0,Inhoud en gewicht300 Milliliter,ml,False,False,,0.0,0.1,100.0
Saitaku Soy topping,https://www.ah.nl/producten/product/wi470331/saitaku-soy-topping,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.19,250.0,Inhoud en gewicht200 Milliliter,g,False,False,,34.0,4.7,0.0
Bertolli Extra vergine robusto olijfolie,https://www.ah.nl/producten/product/wi480801/bertolli-extra-vergine-robusto-olijfolie,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,6.19,500.0,Inhoud en gewicht500 Milliliter,ml,False,False,,0.0,0.0,91.0
Saitaku Miso sesame ramen soup,https://www.ah.nl/producten/product/wi494516/saitaku-miso-sesame-ramen-soup,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,5.55,210.0,Inhoud en gewicht210 MilliliterAantal porties: 4,ml,False,False,,14.0,4.0,11.0
Seasogood Visvrije tonijn citroen & zwarte peper,https://www.ah.nl/producten/product/wi496877/seasogood-visvrije-tonijn-citroen-en-zwarte-peper,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.19,135.0,Inhoud en gewicht135 GramAantal porties: 1,g,False,False,,2.4,12.8,6.6
Rio Mare Insalatissime tuna salad linzen,https://www.ah.nl/producten/product/wi514125/rio-mare-insalatissime-tuna-salad-linzen,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,5.39,160.0,Inhoud en gewicht160 Gram,g,False,False,,10.0,11.0,13.0
Soupalicious One for one rode paprikasoep,https://www.ah.nl/producten/product/wi517754/soupalicious-one-for-one-rode-paprikasoep,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.69,500.0,Inhoud en gewicht500 Milliliter,ml,True,True,,6.1,1.2,1.1
Cornish Sea Salt Co Sea salt flakes,https://www.ah.nl/producten/product/wi518417/cornish-sea-salt-co-sea-salt-flakes,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.19,150.0,Inhoud en gewicht150 Gram,g,False,False,,0.0,0.0,0.0
Euroma Pasta bolognese,https://www.ah.nl/producten/product/wi518864/euroma-pasta-bolognese,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.29,68.0,Inhoud en gewicht68 Gram,g,False,False,,,,
Monini Extra vierge olijfolie met pesto,https://www.ah.nl/producten/product/wi166557/monini-extra-vierge-olijfolie-met-pesto,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,4.89,250.0,Inhoud en gewicht250 Milliliter,ml,False,False,,0.0,0.0,92.0
Rio Mare Tuna for pasta arrabbiata,https://www.ah.nl/producten/product/wi329153/rio-mare-tuna-for-pasta-arrabbiata,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,5.59,160.0,Inhoud en gewicht160 Gram,g,False,False,,4.0,11.0,12.0
Rio Mare Insalatissime tuna salad messicana,https://www.ah.nl/producten/product/wi410028/rio-mare-insalatissime-tuna-salad-messicana,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,6.99,320.0,Inhoud en gewicht2 Stuks. 320 Gram2 x 160 g,g,False,False,,8.5,10.0,13.0
Souq Rozenwater,https://www.ah.nl/producten/product/wi450282/souq-rozenwater,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,5.29,100.0,Inhoud en gewicht100 Milliliter,ml,False,False,,0.0,0.0,0.0
Ortiz Sardines Glas,https://www.ah.nl/producten/product/wi480681/ortiz-sardines-glas,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,4.49,190.0,Inhoud en gewicht190 GramUitlekgewicht: 140 Gram,g,False,False,,0.0,23.0,10.5
Patak's Jalfrezi lentil cooking sauce,https://www.ah.nl/producten/product/wi518343/patak-s-jalfrezi-lentil-cooking-sauce,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.79,345.0,Inhoud en gewicht345 GramAantal porties: 2,g,False,False,,9.7,2.8,1.5
AH Runderknakworst 4-pack,https://www.ah.nl/producten/product/wi520480/ah-runderknakworst-4-pack,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,7.56,,,,False,False,,,,
Fundo Ramen bouillon groenten,https://www.ah.nl/producten/product/wi538300/fundo-ramen-bouillon-groenten,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.99,465.0,Inhoud en gewicht465 MilliliterAantal porties: 2,ml,False,False,B,1.0,0.4,0.5
Carapelli Non filtrato olijfolie,https://www.ah.nl/producten/product/wi480802/carapelli-non-filtrato-olijfolie,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,11.29,750.0,Inhoud en gewicht750 Milliliter,ml,False,False,,0.0,0.0,91.0
Patak's Korma lentil cooking sauce,https://www.ah.nl/producten/product/wi518327/patak-s-korma-lentil-cooking-sauce,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.79,345.0,Inhoud en gewicht345 GramAantal porties: 2,g,False,False,,11.0,3.0,6.0
Euroma Fajita,https://www.ah.nl/producten/product/wi518843/euroma-fajita,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.29,66.0,Inhoud en gewicht66 Gram,g,False,False,,,,
Euroma Traybake groente,https://www.ah.nl/producten/product/wi518869/euroma-traybake-groente,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.29,69.0,Inhoud en gewicht69 Gram,g,False,False,,,,
Euroma Pizza,https://www.ah.nl/producten/product/wi518915/euroma-pizza,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.29,42.0,Inhoud en gewicht42 Gram,g,False,False,,,,
Fundo Ramen bouillon kip,https://www.ah.nl/producten/product/wi538301/fundo-ramen-bouillon-kip,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.99,465.0,Inhoud en gewicht465 MilliliterAantal porties: 2,ml,False,False,B,0.5,3.2,0.5
Patak's pakket voor Tikka masala,https://www.ah.nl/producten/product/wi538346/patak-s-pakket-voor-tikka-masala,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,8.67,,,,False,False,,,,
Monini Olijfolie D.O.P.val di mazara,https://www.ah.nl/producten/product/wi198688/monini-olijfolie-d-o-p-val-di-mazara,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,9.89,500.0,Inhoud en gewicht500 Milliliter,ml,False,False,,0.0,0.0,92.0
Mazzetti Cremoso met 70% balsamico,https://www.ah.nl/producten/product/wi227155/mazzetti-cremoso-met-70-balsamico,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,4.39,215.0,Inhoud en gewicht215 Milliliter,ml,False,False,,58.0,0.6,0.0
Souq Oranjebloesem water,https://www.ah.nl/producten/product/wi450278/souq-oranjebloesem-water,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,5.29,100.0,Inhoud en gewicht100 Milliliter,ml,False,False,,0.0,0.0,0.0
Efepasa Sosis (kip) cocktailworstjes,https://www.ah.nl/producten/product/wi465749/efepasa-sosis-kip-cocktailworstjes,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.29,400.0,Inhoud en gewicht400 GramUitlekgewicht: 200 Gram,g,False,False,,1.0,13.5,16.0
Fish Tales Skipjack tonijn in zonnebloemolie 2-pack,https://www.ah.nl/producten/product/wi476979/fish-tales-skipjack-tonijn-in-zonnebloemolie-2-pack,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.39,160.0,Inhoud en gewicht2 StuksUitlekgewicht: 104 Gram,g,False,False,,0.7,20.0,20.0
Unox Cup-a-soep groente 10-pack,https://www.ah.nl/producten/product/wi503800/unox-cup-a-soep-groente-10-pack,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,4.49,1750.0,Inhoud en gewicht10 StuksAantal porties: 10,ml,False,False,,10.0,1.2,1.5
Cavinoir Imperial selection,https://www.ah.nl/producten/product/wi507067/cavinoir-imperial-selection,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,5.99,50.0,Inhoud en gewicht50 Gram,g,False,False,,1.5,0.2,2.2
Abaco Zonnebloemolie,https://www.ah.nl/producten/product/wi520606/abaco-zonnebloemolie,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.99,1000.0,Inhoud en gewicht1 Liter,ml,False,False,,0.0,0.0,100.0
Heinz ketchup & Mango curry extra voordelig,https://www.ah.nl/producten/product/wi523722/heinz-ketchup-en-mango-curry-extra-voordelig,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,5.18,,,,False,False,,,,
Fundo 100% Natuurlijke kalf & truffel fond,https://www.ah.nl/producten/product/wi538289/fundo-100-natuurlijke-kalf-en-truffel-fond,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.29,200.0,Inhoud en gewicht200 Milliliter,ml,False,False,A,0.5,6.4,0.5
AH Excellent Spaanse olijfolie extra vierge,https://www.ah.nl/producten/product/wi106506/ah-excellent-spaanse-olijfolie-extra-vierge,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,4.49,500.0,Inhoud en gewicht500 MilliliterPortiegrootte: 15 milliliterAantal porties: 33,ml,True,True,C,0.0,0.0,92.0
Reddy Bakken & braden,https://www.ah.nl/producten/product/wi233274/reddy-bakken-en-braden,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.99,500.0,Inhoud en gewicht500 MilliliterPortiegrootte: 1 portie = 10 ml.Aantal porties: 50,ml,False,False,,0.0,0.0,92.0
La Tourangelle Druivenpitolie met zwarte truffel,https://www.ah.nl/producten/product/wi234478/la-tourangelle-druivenpitolie-met-zwarte-truffel,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,10.99,250.0,Inhoud en gewicht250 Milliliter,ml,False,False,,0.0,0.0,100.0
Diamant Extra krokante friet frituurvet,https://www.ah.nl/producten/product/wi408250/diamant-extra-krokante-friet-frituurvet,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,15.49,3000.0,Inhoud en gewicht3 Liter,ml,False,False,,0.0,0.0,92.0
Fundo 100% Natuurlijke Noordzee garnalen fond,https://www.ah.nl/producten/product/wi421471/fundo-100-natuurlijke-noordzee-garnalen-fond,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.29,200.0,Inhoud en gewicht200 Milliliter,ml,False,False,B,0.6,0.7,0.5
Unox Vegetarisch  ragout met dragon,https://www.ah.nl/producten/product/wi454701/unox-vegetarisch-ragout-met-dragon,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.95,390.0,Inhoud en gewicht390 GramAantal porties: 2,g,False,False,,7.4,5.2,4.3
Saitaku Chicken ramen soup,https://www.ah.nl/producten/product/wi494517/saitaku-chicken-ramen-soup,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,5.55,210.0,Inhoud en gewicht210 MilliliterAantal porties: 4,ml,False,False,,7.4,5.2,7.4
Verstegen Mix voor steak & jus,https://www.ah.nl/producten/product/wi507313/verstegen-mix-voor-steak-en-jus,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,4.99,200.0,Inhoud en gewicht200 Gram,g,False,False,,35.7,7.3,1.9
Blyck Boeuf bourguignon,https://www.ah.nl/producten/product/wi508248/blyck-boeuf-bourguignon,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,6.95,460.0,Inhoud en gewicht420 Gram,g,False,False,,3.9,8.7,6.2
Diamant frietpakket,https://www.ah.nl/producten/product/wi538347/diamant-frietpakket,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,15.18,,,,False,False,,,,
Heinz Tomaten Ketchup met AH Knakworst,https://www.ah.nl/producten/product/wi538643/heinz-tomaten-ketchup-met-ah-knakworst,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.28,,,,False,False,,,,
Urbani Truffel roomsaus,https://www.ah.nl/producten/product/wi485622/urbani-truffel-roomsaus,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,5.25,80.0,Inhoud en gewicht80 Gram,g,False,False,,6.0,2.5,21.0
Indo mie Instant noodles chicken flavour,https://www.ah.nl/producten/product/wi503863/indo-mie-instant-noodles-chicken-flavour,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,19.99,2815.492957746479,Inhoud en gewicht40 Stuks40 x 70g,g,False,False,,66.9,10.6,15.3
Blyck Hachee,https://www.ah.nl/producten/product/wi508237/blyck-hachee,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,6.95,460.0,Inhoud en gewicht420 Gram,g,False,False,,4.6,12.1,8.4
Euroma Pureer soep,https://www.ah.nl/producten/product/wi518849/euroma-pureer-soep,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.29,67.0,Inhoud en gewicht67 Gram,g,False,False,,,,
Euroma Paella,https://www.ah.nl/producten/product/wi518877/euroma-paella,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.29,66.0,Inhoud en gewicht66 Gram,g,False,False,,,,
Euroma Kip-kerrie,https://www.ah.nl/producten/product/wi518880/euroma-kip-kerrie,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.29,70.0,Inhoud en gewicht70 Gram,g,False,False,,,,
Euroma Jonnie boer american smokey & fresh bbq,https://www.ah.nl/producten/product/wi518928/euroma-jonnie-boer-american-smokey-en-fresh-bbq,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,4.89,85.0,Inhoud en gewicht85 GramAantal porties: 20,g,False,False,,,,
Morjon Bakkeljauw filet,https://www.ah.nl/producten/product/wi482526/morjon-bakkeljauw-filet,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,5.49,350.0,Inhoud en gewicht350 Gram,g,False,False,,0.0,19.0,0.0
Samyang Extra hot chicken ramen 5-pack,https://www.ah.nl/producten/product/wi503858/samyang-extra-hot-chicken-ramen-5-pack,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,6.99,700.0,Inhoud en gewicht140 Gram,g,False,False,,61.0,9.3,12.0
Blyck Groninger stoofpot,https://www.ah.nl/producten/product/wi508247/blyck-groninger-stoofpot,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,7.65,460.0,Inhoud en gewicht420 Gram,g,False,False,,4.4,10.9,7.3
Fish Tales Gerookte mosselen in olie,https://www.ah.nl/producten/product/wi508465/fish-tales-gerookte-mosselen-in-olie,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.39,200.0,Inhoud en gewicht200 GramUitlekgewicht: 120 Gram,g,False,False,,4.1,24.0,13.0
Euroma Risotto,https://www.ah.nl/producten/product/wi518927/euroma-risotto,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.29,65.0,Inhoud en gewicht65 Gram,g,False,False,,,,
Euroma Jonnie boer mexican hot & sweet bbq,https://www.ah.nl/producten/product/wi518937/euroma-jonnie-boer-mexican-hot-en-sweet-bbq,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,4.89,85.0,Inhoud en gewicht85 GramAantal porties: 20,g,False,False,,,,
Bonduelle Rode kidneybonen 3-pack,https://www.ah.nl/producten/product/wi521054/bonduelle-rode-kidneybonen-3-pack,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.29,,Inhoud en gewicht3 StuksUitlekgewicht: 375 Gram,,False,False,A,13.9,7.7,0.6
Mazzetti Balsamic vinegar of Modena,https://www.ah.nl/producten/product/wi522396/mazzetti-balsamic-vinegar-of-modena,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,9.99,250.0,Inhoud en gewicht250 Milliliter,ml,False,False,,67.0,1.2,0.0
Reddy kookoliën mix pakket,https://www.ah.nl/producten/product/wi538348/reddy-kookolien-mix-pakket,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,11.57,,,,False,False,,,,
Sera Roasted red peppers,https://www.ah.nl/producten/product/wi314134/sera-roasted-red-peppers,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.59,680.0,Inhoud en gewicht680 Gram,g,False,False,,,,
Fish Tales Albacore tonijn spicy in olie bio 2-pack,https://www.ah.nl/producten/product/wi496875/fish-tales-albacore-tonijn-spicy-in-olie-bio-2-pack,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.19,120.0,Inhoud en gewicht120 GramUitlekgewicht: 78 Gram,g,False,False,,0.5,28.0,9.0
Ercimex Knoflooksaus,https://www.ah.nl/producten/product/wi502295/ercimex-knoflooksaus,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.19,500.0,Inhoud en gewicht500 Milliliter,ml,False,False,,11.6,1.1,29.0
Soupalicious One for one tom kha kai soep,https://www.ah.nl/producten/product/wi515685/soupalicious-one-for-one-tom-kha-kai-soep,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.99,500.0,Inhoud en gewicht500 Milliliter,g,False,False,,4.5,2.2,3.9
Seasogood Visvrije tonijn tomaat,https://www.ah.nl/producten/product/wi519702/seasogood-visvrije-tonijn-tomaat,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.19,135.0,Inhoud en gewicht135 GramAantal porties: 1,g,False,False,,4.6,11.0,6.6
Bonduelle Kikkererwten 3-pack,https://www.ah.nl/producten/product/wi521052/bonduelle-kikkererwten-3-pack,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.69,,Inhoud en gewicht3 StuksUitlekgewicht: 390 Gram,,False,False,A,14.7,6.4,2.2
Bertolli balsamico salade dressing pakket,https://www.ah.nl/producten/product/wi524782/bertolli-balsamico-salade-dressing-pakket,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,6.54,,,,False,False,,,,
Verstegen Traybake pakket 4p,https://www.ah.nl/producten/product/wi538640/verstegen-traybake-pakket-4p,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,9.56,,,,False,False,,,,
Fish Tales Witte tonijn in biologische olijfolie,https://www.ah.nl/producten/product/wi496874/fish-tales-witte-tonijn-in-biologische-olijfolie,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.19,120.0,Inhoud en gewicht120 GramUitlekgewicht: 78 Gram,g,False,False,,0.5,28.0,9.0
Euroma Jonnie boer african dark smokey & spicy,https://www.ah.nl/producten/product/wi518865/euroma-jonnie-boer-african-dark-smokey-en-spicy,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,4.89,80.0,Inhoud en gewicht80 GramAantal porties: 20,g,False,False,,,,
Verstegen Peper en Zout pakket,https://www.ah.nl/producten/product/wi532969/verstegen-peper-en-zout-pakket,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,4.18,,,,False,False,,,,
Verstegen chili con carne maaltijd 4p,https://www.ah.nl/producten/product/wi532974/verstegen-chili-con-carne-maaltijd-4p,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,8.15,,,,False,False,,,,
Verstegen boerenkoolstamppot pakket 4p,https://www.ah.nl/producten/product/wi532975/verstegen-boerenkoolstamppot-pakket-4p,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,9.7,,,,False,False,,,,
Heinz ketchup X Coca-Cola BBQ pakket,https://www.ah.nl/producten/product/wi521893/heinz-ketchup-x-coca-cola-bbq-pakket,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,11.32,,,,False,False,,,,
Verstegen Maaltijdmix zakjes pakket,https://www.ah.nl/producten/product/wi532973/verstegen-maaltijdmix-zakjes-pakket,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.87,,,,False,False,,,,
Caykur Rize Turist cayi,https://www.ah.nl/producten/product/wi198167/caykur-rize-turist-cayi,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,4.29,500.0,Inhoud en gewicht500 Gram,g,False,False,,,,
Valle del sole Large Lima Beans - Reuze broodbonen,https://www.ah.nl/producten/product/wi198418/valle-del-sole-large-lima-beans-reuze-broodbonen,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.99,900.0,Inhoud en gewicht900 Gram,g,False,False,,44.4,21.5,0.7
Streeckgenoten Kippen ragout,https://www.ah.nl/producten/product/wi199388/streeckgenoten-kippen-ragout,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.59,400.0,Inhoud en gewicht400 Gram,g,False,False,,2.5,11.2,5.7
Valle del sole Organic virgin coconut oil,https://www.ah.nl/producten/product/wi215269/valle-del-sole-organic-virgin-coconut-oil,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,7.99,500.0,Inhoud en gewicht500 Milliliter,ml,False,False,,0.0,0.0,100.0
AH Verse knoflook,https://www.ah.nl/producten/product/wi230804/ah-verse-knoflook,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,4.95,500.0,Inhoud en gewicht1000 Gram,l,True,True,A,,,
A.Vogel Herbamare spicy kruidenzout,https://www.ah.nl/producten/product/wi414956/a-vogel-herbamare-spicy-kruidenzout,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,4.59,250.0,Inhoud en gewicht250 Gram,g,False,False,,7.0,1.0,0.0
Hela Kruiden ketchup curry superieur,https://www.ah.nl/producten/product/wi454462/hela-kruiden-ketchup-curry-superieur,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.99,800.0,Inhoud en gewicht800 Milliliter. 930 Gram,ml,False,False,,30.6,0.8,0.3
Fish Tales Wilde zalm zonder vel & graat,https://www.ah.nl/producten/product/wi485275/fish-tales-wilde-zalm-zonder-vel-en-graat,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,3.99,160.0,Inhoud en gewicht170 GramUitlekgewicht: 120 Gram,g,False,False,,0.0,17.0,2.2
Burger pakket Heinz,https://www.ah.nl/producten/product/wi531196/burger-pakket-heinz,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,6.27,,,,False,False,,,,
Verstegen Kip Cajun pasta pakket 4p,https://www.ah.nl/producten/product/wi532977/verstegen-kip-cajun-pasta-pakket-4p,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,10.05,,,,False,False,,,,
Verstegen Toscaanse pasta maaltijd 4p,https://www.ah.nl/producten/product/wi532979/verstegen-toscaanse-pasta-maaltijd-4p,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,9.72,,,,False,False,,,,
Verstegen poke bowl maaltijdpakket 2p,https://www.ah.nl/producten/product/wi532981/verstegen-poke-bowl-maaltijdpakket-2p,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,11.66,,,,False,False,,,,
Verstegen Vega Burrito pakket 4p,https://www.ah.nl/producten/product/wi532982/verstegen-vega-burrito-pakket-4p,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,7.45,,,,False,False,,,,
Verstegen Vis maaltijdpakket 4p,https://www.ah.nl/producten/product/wi532984/verstegen-vis-maaltijdpakket-4p,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,9.62,,,,False,False,,,,
Euroma maaltijdmixen pakket,https://www.ah.nl/producten/product/wi547423/euroma-maaltijdmixen-pakket,soepen-sauzen-kruiden-olie?minPrice=3&maxPrice=99,9.87,,,,False,False,,,,
AH Bapao rundvlees,https://www.ah.nl/producten/product/wi31392/ah-bapao-rundvlees,salades-pizza-maaltijden,1.09,121.11111111111111,Inhoud en gewicht120 GramPortiegrootte: 120 gramAantal porties: 1,l,False,False,B,41.0,9.0,5.5
AH Pizzadeeg tomatensaus,https://www.ah.nl/producten/product/wi134027/ah-pizzadeeg-tomatensaus,salades-pizza-maaltijden,1.99,600.0,Inhoud en gewicht600 GramPizzadeeg 400 g ℮ / tomatensaus 200 g / 2 porties (300 g)Portiegrootte: 300 gramAantal porties: 2,g,False,True,B,30.0,6.7,3.4
AH Bapao kip,https://www.ah.nl/producten/product/wi33018/ah-bapao-kip,salades-pizza-maaltijden,1.09,121.11111111111111,Inhoud en gewicht120 GramPortiegrootte: 120 gramAantal porties: 1,l,False,False,C,40.0,6.6,4.8
AH Verse tagliatelle all'uovo,https://www.ah.nl/producten/product/wi56027/ah-verse-tagliatelle-all-uovo,salades-pizza-maaltijden,2.39,250.0,Inhoud en gewicht250 GramPortiegrootte: 125 gramAantal porties: 2,g,False,False,A,53.0,10.0,3.0
Dr. Oetker Ristorante pizza salami,https://www.ah.nl/producten/product/wi514003/dr-oetker-ristorante-pizza-salami,salades-pizza-maaltijden,2.79,320.0,Inhoud en gewicht320 Gram,g,False,False,C,25.0,10.0,13.0
AH Italiaanse lasagne verspakket,https://www.ah.nl/producten/product/wi226973/ah-italiaanse-lasagne-verspakket,salades-pizza-maaltijden,5.29,1220.0,Inhoud en gewicht1220 GramPortiegrootte: 490 gramAantal porties: 4,g,True,True,A,8.3,6.6,6.2
AH Tomatensoep verspakket,https://www.ah.nl/producten/product/wi198386/ah-tomatensoep-verspakket,salades-pizza-maaltijden,3.99,1100.0,Inhoud en gewicht1092 GramPortiegrootte: 250 milliliterAantal porties: 6,g,False,False,B,3.1,0.7,1.3
AH Verse spaghetti all'uovo,https://www.ah.nl/producten/product/wi168206/ah-verse-spaghetti-all-uovo,salades-pizza-maaltijden,2.39,250.0,Inhoud en gewicht250 GramPortiegrootte: 125 gramAantal porties: 2,g,False,False,A,53.0,10.0,3.0
AH Banaan spelt pancake,https://www.ah.nl/producten/product/wi383671/ah-banaan-spelt-pancake,salades-pizza-maaltijden,2.19,160.0,Inhoud en gewicht160 GramPortiegrootte: 40 gramAantal porties: 4,g,False,True,C,33.0,6.3,13.0
Koopmans Mix voor pannenkoeken origineel,https://www.ah.nl/producten/product/wi3453/koopmans-mix-voor-pannenkoeken-origineel,salades-pizza-maaltijden,1.19,400.0,Inhoud en gewicht400 GramPortiegrootte: Bereid met zonnebloemolie en halfvolle melk. 1 portie = 1 pannenkoekAantal porties: 12,g,False,False,,28.0,6.9,3.8
AH Worstenbroodjes,https://www.ah.nl/producten/product/wi199771/ah-worstenbroodjes,salades-pizza-maaltijden,1.99,,Inhoud en gewicht280 GramPortiegrootte: 70 gramAantal porties: 4,,False,False,C,29.0,12.0,7.9
